rank,name,country,id
1,Jannik Sinner,ITA,206173
2,Alexander Zverev,GER,100644
3,Carlos Alcaraz,ESP,207989
4,Novak Djokovic,SRB,104925
5,Daniil Medvedev,RUS,106421
6,Andrey Rublev,RUS,126094
7,Taylor Fritz,USA,126203
8,Hubert Hurkacz,POL,128034
9,Casper Ruud,NOR,134770
10,Grigor Dimitrov,BUL,105777
11,Alex De Minaur,AUS,200282
12,Stefanos Tsitsipas,GRE,126774
13,Tommy Paul,USA,126205
14,Holger Rune,DEN,208029
15,Sebastian Korda,USA,200624
16,Frances Tiafoe,USA,126207
17,Ben Shelton,USA,210097
18,Ugo Humbert,FRA,200005
19,Lorenzo Musetti,ITA,207518
20,Jack Draper,GBR,207733
21,Felix Auger Aliassime,CAN,200000
22,Alejandro Tabilo,CHI,126214
23,Karen Khachanov,RUS,111575
24,Alexei Popyrin,AUS,200615
25,Arthur Fils,FRA,209950
26,Sebastian Baez,ARG,202104
27,Alexander Bublik,KAZ,122330
28,Nicolas Jarry,CHI,111797
29,Jordan Thompson,AUS,111442
30,Nuno Borges,POR,132686
31,Francisco Cerundolo,ARG,202103
32,Flavio Cobolli,ITA,207925
33,Matteo Arnaldi,ITA,208286
34,Tomas Martin Etcheverry,ARG,144869
35,Tomas Machac,CZE,207830
36,Mariano Navone,ARG,208363
37,Jiri Lehecka,CZE,208103
38,Jan Lennard Struff,GER,105526
39,Tallon Griekspoor,NED,134868
40,Brandon Nakashima,USA,206909
41,Luciano Darderi,ITA,209260
42,Pedro Martinez,ESP,124079
43,Matteo Berrettini,ITA,126610
44,Gael Monfils,FRA,104792
45,Marcos Giron,USA,106218
46,Adrian Mannarino,FRA,105173
47,Alex Michelsen,USA,210506
48,Zhizhen Zhang,CHN,111190
49,Fabian Marozsan,HUN,206681
50,Lorenzo Sonego,ITA,132283
51,Giovanni Mpetshi Perricard,FRA,208659
52,Cameron Norrie,GBR,111815
53,Miomir Kecmanovic,SRB,200175
54,Yoshihito Nishioka,JPN,106415
55,Roberto Carballes Baena,ESP,106148
56,Roman Safiullin,RUS,126128
57,Alexander Shevchenko,KAZ,207686
58,Arthur Rinderknech,FRA,126239
59,Sebastian Ofner,AUT,124116
60,Facundo Diaz Acosta,ARG,207680
61,Pavel Kotov,RUS,200303
62,Roberto Bautista Agut,ESP,105138
63,Alejandro Davidovich Fokina,ESP,200221
64,David Goffin,BEL,105676
65,Dusan Lajovic,SRB,105583
66,Juncheng Shang,CHN,209992
67,Jakub Mensik,CZE,210150
68,Botic Van De Zandschulp,NED,122298
69,Corentin Moutet,FRA,144895
70,Alexandre Muller,FRA,124186
71,James Duckworth,AUS,105902
72,Zizou Bergs,BEL,200267
73,Aleksandar Kovacevic,USA,206499
74,Jaume Munar,ESP,144719
75,Hugo Gaston,FRA,200384
76,Thiago Monteiro,BRA,106329
77,Rinky Hijikata,AUS,208014
78,Thanasi Kokkinakis,AUS,106423
79,Federico Coria,ARG,105948
80,Fabio Fognini,ITA,104926
81,Dominik Koepfer,GER,136440
82,Sumit Nagal,IND,111576
83,Emil Ruusuvuori,FIN,200325
84,Daniel Altmaier,GER,127157
85,Marton Fucsovics,HUN,105916
86,Damir Dzumhur,BIH,106000
87,Christopher Oconnell,AUS,106331
88,Arthur Cazaux,FRA,209070
89,Max Purcell,AUS,126845
90,Luca Nardi,ITA,208134
91,Francisco Comesana,ARG,207681
92,Taro Daniel,JPN,106121
93,Camilo Ugo Carabelli,ARG,200116
94,Aleksandar Vukic,AUS,126846
95,Adam Walton,AUS,200443
96,Yannick Hanfmann,GER,105870
97,Thiago Agustin Tirante,ARG,202058
98,Thiago Seyboth Wild,BRA,205734
99,Borna Coric,CRO,106432
100,Denis Shapovalov,CAN,133430
